country,region_orig,adm1_orig,adm2_orig,region_new
Benin,NA,Alibori,Banikoara,
Benin,NA,Alibori,Gogounou,
Benin,NA,Alibori,Kandi,
Benin,NA,Alibori,Karimama,
Benin,NA,Alibori,Malanville,
Benin,NA,Alibori,Segbana,
Benin,NA,Atacora,Boukombe,
Benin,NA,Atacora,Kerou,
Benin,NA,Atacora,Kobli,
Benin,NA,Atacora,Kouande,
Benin,NA,Atacora,Materi,
Benin,NA,Atacora,Natitingou,
Benin,NA,Atacora,Pehunco,
Benin,NA,Atacora,Tanguieta,
Benin,NA,Atacora,Toucountouna,
Benin,NA,Atlantique,Abomey-Calavi,
Benin,NA,Atlantique,Allada,
Benin,NA,Atlantique,Kpomasse,
Benin,NA,Atlantique,Ouidah,
Benin,NA,Atlantique,So-Ava,
Benin,NA,Atlantique,Toffo,
Benin,NA,Atlantique,Tori-Bossito,
Benin,NA,Atlantique,Ze,
Benin,NA,Borgou,Bembereke,
Benin,NA,Borgou,Kalale,
Benin,NA,Borgou,N'dali,
Benin,NA,Borgou,Nikki,
Benin,NA,Borgou,Parakou,
Benin,NA,Borgou,Perere,
Benin,NA,Borgou,Sinende,
Benin,NA,Borgou,Tchaourou,
Benin,NA,Collines,Bante,
Benin,NA,Collines,Dassa-Zoume,
Benin,NA,Collines,Glazoue,
Benin,NA,Collines,Ouesse,
Benin,NA,Collines,Savalou,
Benin,NA,Collines,Save,
Benin,NA,Couffo,Aplahoue,
Benin,NA,Couffo,Djakotomey,
Benin,NA,Couffo,Dogbo,
Benin,NA,Couffo,Klouekanme,
Benin,NA,Couffo,Lalo,
Benin,NA,Couffo,Toviklin,
Benin,NA,Donga,Bassila,
Benin,NA,Donga,Copargo,
Benin,NA,Donga,Djougou,
Benin,NA,Donga,Ouake,
Benin,NA,Littoral,Cotonou,
Benin,NA,Mono,Athieme,
Benin,NA,Mono,Bopa,
Benin,NA,Mono,Come,
Benin,NA,Mono,Grand-Popo,
Benin,NA,Mono,Houeyogbe,
Benin,NA,Mono,Lokossa,
Benin,NA,Oueme,Adjarra,
Benin,NA,Oueme,Adjohoun,
Benin,NA,Oueme,Aguegues,
Benin,NA,Oueme,Akpo-Misserete,
Benin,NA,Oueme,Avrankou,
Benin,NA,Oueme,Bonou,
Benin,NA,Oueme,Dangbo,
Benin,NA,Oueme,Porto-Novo,
Benin,NA,Oueme,Seme-Kpodji,
Benin,NA,Plateau,Adja-Ouere,
Benin,NA,Plateau,Ifangni,
Benin,NA,Plateau,Ketou,
Benin,NA,Plateau,Pobe,
Benin,NA,Plateau,Sakete,
Benin,NA,Zou,Abomey,
Benin,NA,Zou,Agbangnizoun,
Benin,NA,Zou,Bohicon,
Benin,NA,Zou,Cove,
Benin,NA,Zou,Djidja,
Benin,NA,Zou,Ouinhi,
Benin,NA,Zou,Zagnanado,
Benin,NA,Zou,Za-Kpota,
Benin,NA,Zou,Zogbodomey,
Benin,NA,ATACORA,Boukombé,
Benin,NA,ATACORA,Cobly,
Benin,NA,ATACORA,Kérou,
Benin,NA,ATACORA,Kouandé,
Benin,NA,ATACORA,Matéri,
Benin,NA,ATACORA,Natitingou,
Benin,NA,ATACORA,Péhunco,
Benin,NA,ATACORA,Tanguiéta,
Benin,NA,ATACORA,Toucountouna,
Benin,NA,DONGA,Bassila,
Benin,NA,DONGA,Copargo,
Benin,NA,DONGA,Djougou,
Benin,NA,DONGA,Ouaké,
Benin,NA,Altantique,Allada,
Benin,NA,Altantique,Kpomassè,
Benin,NA,Altantique,Abomey-calavi,
Benin,NA,Altantique,Ouidah,
Benin,NA,Altantique,Toffo,
Benin,NA,Altantique,Torri-Bossito,
Benin,NA,Altantique,Zè,
Benin,NA,Altantique,Sô-Ava,
Benin,NA,LITTORAL,COTONOU,
Benin,NA,Alibori,Ségbana,
Benin,NA,Borgou,Kalalé,
Benin,NA,Couffo,Aplahoué,
Benin,NA,Couffo,Klouèkamey,
Benin,NA,Mono,Athiémé,
Benin,NA,Mono,Comè,
Benin,NA,Mono,Grand-popo,
Benin,NA,Mono,Houéyogbé,
Benin,NA,Ouémé,Adjarra,
Benin,NA,Ouémé,Adjohou,
Benin,NA,Ouémé,Aguégués,
Benin,NA,Ouémé,Akpro Missereté,
Benin,NA,Ouémé,Avrankou,
Benin,NA,Ouémé,Bonou,
Benin,NA,Ouémé,Dangbo,
Benin,NA,Ouémé,Porto-Novo,
Benin,NA,Ouémé,Sèmè-Podji,
Benin,NA,Plateau,Adja Ouèrè,
Benin,NA,Plateau,Kétou,
Benin,NA,Plateau,Pobè,
Benin,NA,Plateau,Sakété,
Benin,NA,Collines,Bantè,
Benin,NA,Collines,Dassa-Zoumè,
Benin,NA,Collines,Glazoué,
Benin,NA,Collines,Savè,
Benin,NA,Collines,Ouessè,
Benin,NA,Zou,Za-kpota,
Burkina Faso,NA,Centre,Kadiogo,
Burkina Faso,NA,Plateau Central,Ganzourgou,
Burkina Faso,NA,Plateau Central,Oubritenga,
Burkina Faso,NA,Plateau Central,Kourweogo,
Burkina Faso,NA,Centre-Nord,Bam,
Burkina Faso,NA,Centre-Nord,Namentenga,
Burkina Faso,NA,Centre-Nord,Sanmatenga,
Burkina Faso,NA,Centre-Ouest,Boulkiemde,
Burkina Faso,NA,Centre-Ouest,Sanguie,
Burkina Faso,NA,Centre-Ouest,Sissili,
Burkina Faso,NA,Centre-Ouest,Ziro,
Burkina Faso,NA,Centre-Sud,Bazega,
Burkina Faso,NA,Centre-Sud,Nahouri,
Burkina Faso,NA,Centre-Sud,Zoundweogo,
Burkina Faso,NA,Sahel,Oudalan,
Burkina Faso,NA,Sahel,Seno,
Burkina Faso,NA,Sahel,Soum,
Burkina Faso,NA,Sahel,Yagha,
Burkina Faso,NA,Boucle du Mouhoun,Kossi,
Burkina Faso,NA,Boucle du Mouhoun,Mouhoun,
Burkina Faso,NA,Boucle du Mouhoun,Sourou,
Burkina Faso,NA,Boucle du Mouhoun,Bale,
Burkina Faso,NA,Boucle du Mouhoun,Banwa,
Burkina Faso,NA,Boucle du Mouhoun,Nayala,
Burkina Faso,NA,Est,Gnagna,
Burkina Faso,NA,Est,Gourma,
Burkina Faso,NA,Est,Tapoa,
Burkina Faso,NA,Est,Komonjdjari,
Burkina Faso,NA,Est,Kompienga,
Burkina Faso,NA,Centre-Est,Boulgou,
Burkina Faso,NA,Centre-Est,Kouritenga,
Burkina Faso,NA,Centre-Est,Koulpelogo,
Burkina Faso,NA,Nord,Loroum,
Burkina Faso,NA,Nord,Passore,
Burkina Faso,NA,Nord,Yatenga,
Burkina Faso,NA,Nord,Zondoma,
Burkina Faso,NA,Sud-Ouest,Bougouriba,
Burkina Faso,NA,Sud-Ouest,Poni,
Burkina Faso,NA,Sud-Ouest,Ioba,
Burkina Faso,NA,Sud-Ouest,Noumbiel,
Burkina Faso,NA,Hauts-Bassins,Houet,
Burkina Faso,NA,Hauts-Bassins,Kenedougou,
Burkina Faso,NA,Hauts-Bassins,Tuy,
Burkina Faso,NA,Cascades,Comoe,
Burkina Faso,NA,Cascades,Leraba,
Burkina Faso,NA,CENTRE,Kadiogo,
Burkina Faso,NA,PLATEAU CENTRAL,Ganzourgou,
Burkina Faso,NA,PLATEAU CENTRAL,Oubritenga,
Burkina Faso,NA,PLATEAU CENTRAL,Kourweogo,
Burkina Faso,NA,CENTRE-NORD,Bam,
Burkina Faso,NA,CENTRE-NORD,Namentenga,
Burkina Faso,NA,CENTRE-NORD,Sanmatenga,
Burkina Faso,NA,CENTRE-OUEST,Boulkiemde,
Burkina Faso,NA,Centre,KADIOGO,
Burkina Faso,NA,Plateau Central,GANZOURGOU,
Burkina Faso,NA,Plateau Central,OUBRITENGA,
Burkina Faso,NA,Plateau Central,KOURWEOGO,
Burkina Faso,NA,Centre-Nord,BAM,
Burkina Faso,NA,Centre-Nord,NAMENTENGA,
Burkina Faso,NA,Centre-Nord,SANMATENGA,
Burkina Faso,NA,Centre-Ouest,BOULKIEMDE,
Burkina Faso,NA,Centre-Ouest,SANGUIE,
Burkina Faso,NA,Centre-Ouest,SISSILI,
Burkina Faso,NA,Centre-Ouest,ZIRO,
Burkina Faso,NA,Centre-Sud,BAZEGA,
Burkina Faso,NA,Centre-Sud,NAHOURI,
Burkina Faso,NA,Centre-Sud,ZOUNDWEOGO,
Burkina Faso,NA,Sahel,OUDALAN,
Burkina Faso,NA,Sahel,SENO,
Burkina Faso,NA,Sahel,SOUM,
Burkina Faso,NA,Sahel,YAGHA,
Burkina Faso,NA,Boucle du Mouhoun,KOSSI,
Burkina Faso,NA,Boucle du Mouhoun,MOUHOUN,
Burkina Faso,NA,Boucle du Mouhoun,SOUROU,
Burkina Faso,NA,Boucle du Mouhoun,BALE,
Burkina Faso,NA,Boucle du Mouhoun,BANWA,
Burkina Faso,NA,Boucle du Mouhoun,NAYALA,
Burkina Faso,NA,Est,GNAGNA,
Burkina Faso,NA,Est,GOURMA,
Burkina Faso,NA,Est,TAPOA,
Burkina Faso,NA,Est,KOMPIENGA,
Burkina Faso,NA,Centre-Est,BOULGOU,
Burkina Faso,NA,Centre-Est,KOURITENGA,
Burkina Faso,NA,Centre-Est,KOULPELOGO,
Burkina Faso,NA,Nord,PASSORE,
Burkina Faso,NA,Nord,YATENGA,
Burkina Faso,NA,Nord,LOROUM,
Burkina Faso,NA,Nord,ZONDOMA,
Burkina Faso,NA,Sud-Ouest,BOUGOURIBA,
Burkina Faso,NA,Sud-Ouest,PONI,
Burkina Faso,NA,Sud-Ouest,IOBA,
Burkina Faso,NA,Sud-Ouest,NOUMBIEL,
Burkina Faso,NA,Hauts-Bassins,HOUET,
Burkina Faso,NA,Hauts-Bassins,KENEDOUGOU,
Burkina Faso,NA,Hauts-Bassins,TUY,
Burkina Faso,NA,Cascades,COMOE,
Burkina Faso,NA,Cascades,LERABA,
Cote d’Ivoire,Nord,NA,NA,
Cote d’Ivoire,Ouest,NA,NA,
Cote d’Ivoire,Nord Ouest,NA,NA,
Cote d’Ivoire,Nord Est,NA,NA,
Cote d’Ivoire,Centre,NA,NA,
Cote d’Ivoire,Centre Est,NA,NA,
Cote d’Ivoire,Centre Ouest,NA,NA,
Cote d’Ivoire,Sud Ouest,NA,NA,
Cote d’Ivoire,Sud,NA,NA,
Cote d’Ivoire,Centre Nord,NA,NA,
Cote d’Ivoire,PAD NORD OUEST,Folon,NA,
Cote d’Ivoire,PAD NORD OUEST,Kabadougou,NA,
Cote d’Ivoire,PAD NORD,PORO,NA,
Cote d’Ivoire,PAD NORD,TCHOLOGO,NA,
Cote d’Ivoire,PAD NORD,BAGOUE,NA,
Cote d’Ivoire,PAD CENTRE OUEST,Région du GOH,NA,
Cote d’Ivoire,PAD CENTRE OUEST,Région du GUEMON,NA,
Cote d’Ivoire,PAD CENTRE OUEST,Région de la MARAHOUE,NA,
Cote d’Ivoire,PAD CENTRE OUEST,Région du HAUT-SASSANDRA,NA,
Cabo Verde,S. Nicolau,R. Brava,NA,
Cabo Verde,S. Nicolau,Tarrafal,NA,
Cabo Verde,Sal,Sal,NA,
Cabo Verde,Santo Antao,Ribeira Grande,NA,
Cabo Verde,Santo Antao,Paul,NA,
Cabo Verde,Santo Antao,Porto Novo,NA,
Cabo Verde,SANTIAGO,Santa Catarina,NA,
Cabo Verde,SANTIAGO,São Miguel,NA,
Cabo Verde,SANTIAGO,Praia,NA,
Cabo Verde,SANTIAGO,S.Lourenço dos Órgãos,NA,
Cabo Verde,FOGO,São Filipe,NA,
Cabo Verde,FOGO,Mosteiros,NA,
Cabo Verde,FOGO,Santa Catarina,NA,
Cabo Verde,MAIO,Maio,NA,
Cabo Verde,BRAVA,Brava,NA,
Cabo Verde,Santiago,Praia,NA,
Cabo Verde,Santiago,Ribeira GST,NA,
Cabo Verde,Santiago,S: Cruz,NA,
Cabo Verde,Santiago,Tarrafal,NA,
Cabo Verde,Santiago,S. Domingos,NA,
Cabo Verde,S.Vicente,Mindelo,NA,Sao Vicente
Cabo Verde,Boa Vista,Boa Vista,NA,
Cabo Verde,Santiago,São Lourenço dos Orgãos,NA,
Cabo Verde,Santiago,São Salvador do Mundo,NA,
Cabo Verde,S. Antao,Ribeira Grande,NA,
Cabo Verde,S. Antao,Porto Novo,NA,
Cabo Verde,S. Antao,Paul,NA,
Cabo Verde,S. Nicolau,Ribeira Brava,NA,
Cabo Verde,S. Vicente,S. Vicente,NA,Sao Vicente
Cabo Verde,SANTIAGO,PRAIA,NA,
Cabo Verde,SANTIAGO,Rª G SANTIAGO,NA,
Cabo Verde,SANTIAGO,S. DOMINGOS,NA,
Cabo Verde,SANTIAGO,STA CRUZ,NA,
Cabo Verde,SANTIAGO,S. L. ÓGÃOS,NA,
Cabo Verde,SANTIAGO,S. S. MUNDO,NA,
Cabo Verde,BOA VISTA,BOA VISTA,NA,
Cabo Verde,S. ANTAO,Ribeira Grande,NA,
Cabo Verde,S. ANTAO,Porto Novo,NA,
Cabo Verde,S. ANTAO,Paul,NA,
Cabo Verde,S. NICOLAU,Ribeira Brava,NA,
Cabo Verde,S. NICOLAU,Tarrafal,NA,
Cabo Verde,S. VICENTE,S. Vicente,NA,
Cabo Verde,SAL,Sal,NA,
Cabo Verde,SANTIAGO,Tarrafal,NA,
Cabo Verde,SANTIAGO,Rª Grande,NA,
Cabo Verde,SANTIAGO,São Domingos,NA,
Cabo Verde,SANTIAGO,S. L. Órgãos,NA,
Cabo Verde,SANTIAGO,Sta Cruz,NA,
Cabo Verde,SANTIAGO,S. S. Mundo,NA,
Cabo Verde,SANTIAGO,TARRAFAL ST,NA,
Cabo Verde,SANTIAGO,SANTA CATARINA,NA,
Cabo Verde,SANTIAGO,SÃO MIGUEL,NA,
Cabo Verde,BOA VISTA,Boa Vista,NA,
Cabo Verde,S. ANTAO,RIBEIRA GRANDE,NA,
Cabo Verde,S. ANTAO,PORTO NOVO,NA,
Cabo Verde,S. ANTAO,PAUL,NA,
Cabo Verde,S. NICOLAU,RIBEIRA BRAVA,NA,
Cabo Verde,S. NICOLAU,TARRAFAL SN,NA,
Cabo Verde,SÃO  VICENTE,SÃO VICENTE,NA,
Cabo Verde,SAL,SAL,NA,
Cabo Verde,FOGO,SÃO FILIPE,NA,
Cabo Verde,FOGO,MOSTEIROS,NA,
Cabo Verde,FOGO,SANTA CATARINA,NA,
Cabo Verde,MAIO,MAIO,NA,
Cabo Verde,BRAVA,BRAVA,NA,
Cabo Verde,FOGO,Santa Catarina de Fogo,NA,
Cabo Verde,S.Vicente,S.Vicente,NA,
Cabo Verde,Santiago,S. Cruz,NA,
Cabo Verde,Santiago,Santa Catarina,NA,
Cabo Verde,Santiago,São Miguel,NA,
Cabo Verde,Santiago,São Domingos,NA,
Cabo Verde,Santiago,Sao salvadordo Mundo,NA,
Cabo Verde,Santiago,São Lourenço dos Órgãos,NA,
Cabo Verde,Santiago,Ribeira Grande de Santiago,NA,
Cabo Verde,Santiago,S. L. Orgãos,NA,
Cabo Verde,Santiago,S. S. Mundo,NA,
Cabo Verde,Boa Vista,B. Vista,NA,
Cabo Verde,S. NICOLAU,RIBEIRA BRAVO,NA,
Ghana,NA,Northern,NA,
Ghana,NA,Upper East,NA,
Ghana,NA,Upper West,NA,
Ghana,NA,Brong Ahafo,NA,
Ghana,NA,Ashanti,NA,
Ghana,NA,Western,NA,
Ghana,NA,Central,NA,
Ghana,NA,Greater Accra,NA,
Ghana,NA,Volta,NA,
Ghana,NA,Eastern,NA,
Ghana,NA,Central Region,NA,
Ghana,NA,Volta Region,NA,
Ghana,NA,Estearn,NA,
Ghana,NA,Greater Acra,NA,
Ghana,NA,Central region,NA,
Ghana,NA,Greater Acrra,NA,
Guinea,NA,Boke,Boffa,
Guinea,NA,Boke,Boke,
Guinea,NA,Boke,Fria,
Guinea,NA,Boke,Gaoual,
Guinea,NA,Boke,Koundara,
Guinea,NA,Conakry,Conakry,
Guinea,NA,Faranah,Dabola,
Guinea,NA,Faranah,Dinguiraye,
Guinea,NA,Faranah,Faranah,
Guinea,NA,Faranah,Kissidougou,
Guinea,NA,Kankan,Kankan,
Guinea,NA,Kankan,Kerouane,
Guinea,NA,Kankan,Kouroussa,
Guinea,NA,Kankan,Mandiana,
Guinea,NA,Kankan,Siguiri,
Guinea,NA,Kindia,Coyah,
Guinea,NA,Kindia,Dubreka,
Guinea,NA,Kindia,Forecariah,
Guinea,NA,Kindia,Kindia,
Guinea,NA,Kindia,Telimele,
Guinea,NA,Labe,Koubia,
Guinea,NA,Labe,Labe,
Guinea,NA,Labe,Lelouma,
Guinea,NA,Labe,Mali,
Guinea,NA,Labe,Tougue,
Guinea,NA,Mamou,Dalaba,
Guinea,NA,Mamou,Mamou,
Guinea,NA,Mamou,Pita,
Guinea,NA,Nzerekore,Beyla,
Guinea,NA,Nzerekore,Gueckedou,
Guinea,NA,Nzerekore,Lola,
Guinea,NA,Nzerekore,Macenta,
Guinea,NA,Nzerekore,Nzerekore,
Guinea,NA,Nzerekore,Yomou,
Guinea,NA,Boke,NA,
Guinea,NA,Conakry,NA,
Guinea,NA,Faranah,NA,
Guinea,NA,Kankan,NA,
Guinea,NA,Kindia,NA,
Guinea,NA,Labe,NA,
Guinea,NA,Mamou,NA,
Guinea,NA,Nzerekore,NA,
Guinea,NA,BOKE,BOFFA,
Guinea,NA,BOKE,BOKE,
Guinea,NA,BOKE,FRIA,
Guinea,NA,BOKE,GAOUAL,
Guinea,NA,BOKE,KOUNDARA,
Guinea,NA,FARANAH,DABOLA,
Guinea,NA,FARANAH,DINGUIRAYE,
Guinea,NA,FARANAH,FARANAH,
Guinea,NA,FARANAH,KISSIDOUGOU,
Guinea,NA,KANKAN,KANKAN,
Guinea,NA,KANKAN,KEROUANE,
Guinea,NA,KANKAN,KOUROUSSA,
Guinea,NA,KANKAN,MANDIANA,
Guinea,NA,KANKAN,SIGUIRI,
Guinea,NA,KINDIA,COYAH,
Guinea,NA,KINDIA,DUBREKA,
Guinea,NA,KINDIA,FORECARIAH,
Guinea,NA,KINDIA,KINDIA,
Guinea,NA,KINDIA,TELEMELE,
Guinea,NA,LABE,KOUBIA,
Guinea,NA,LABE,LABE,
Guinea,NA,LABE,LELOUMA,
Guinea,NA,LABE,MALI,
Guinea,NA,LABE,TOUGUE,
Guinea,NA,MAMOU,DALABA,
Guinea,NA,MAMOU,MAMOU,
Guinea,NA,MAMOU,PITA,
Guinea,NA,N'ZEREKORE,BEYLA,
Guinea,NA,N'ZEREKORE,GUECKEDOU,
Guinea,NA,N'ZEREKORE,LOLA,
Guinea,NA,N'ZEREKORE,MACENTA,
Guinea,NA,N'ZEREKORE,N'ZEREKORE,
Guinea,NA,N'ZEREKORE,YOMOU,
Gambia,NA,WCR,NA,
Gambia,NA,LRR,NA,
Gambia,NA,URR,NA,
Gambia,NA,CRRN,NA,
Gambia,NA,CRRS,NA,
Gambia,NA,NBR,NA,
Gambia,NA,BANJUL,NA,
Gambia,NA,KMC,NA,
Gambia,NA,West Coast Region,NA,
Gambia,NA,Lower River Region,NA,
Gambia,NA,North Bank Region,NA,
Gambia,NA,Central River Region (N),NA,
Gambia,NA,Central River Region (S),NA,
Gambia,NA,Upper River Region,NA,
Gambia,NA,CRR n,NA,
Gambia,NA,CRR s,NA,
Gambia,NA,BJL,NA,
Gambia,NA,Central River (N),NA,
Gambia,NA,Central River (S),NA,
Gambia,NA,Lower River,NA,
Gambia,NA,North Bank,NA,
Gambia,NA,Upper River,NA,
Gambia,NA,West Coast,NA,
Guinea Bissau,NA,Bafata,NA,
Guinea Bissau,NA,Quinara,NA,
Guinea Bissau,NA,OIO,NA,
Guinea Bissau,NA,Biombo,NA,
Guinea Bissau,NA,CACHEU,NA,
Guinea Bissau,NA,GABU,NA,
Guinea Bissau,NA,BOLAMA,NA,
Guinea Bissau,NA,TOMBALI,NA,
Guinea Bissau,NA,BAFATA,NA,
Guinea Bissau,NA,QUINARA,NA,
Guinea Bissau,NA,BIOMBO,NA,
Guinea Bissau,NA,Cacheu,NA,
Guinea Bissau,NA,Oio,NA,
Guinea Bissau,NA,Gabu,NA,
Guinea Bissau,NA,Tombali,NA,
Guinea Bissau,NA,Bolama-Bijagos,NA,
Guinea Bissau,NA,Bolama,NA,
Liberia,NA,Bomi,NA,
Liberia,NA,Bong,NA,
Liberia,NA,Gbarpolu,NA,
Liberia,NA,Grand Bassa,NA,
Liberia,NA,Grand Cape Mount,NA,
Liberia,NA,Grand Gedeh,NA,
Liberia,NA,Grand Kru,NA,
Liberia,NA,Lofa,NA,
Liberia,NA,Margibi,NA,
Liberia,NA,Maryland,NA,
Liberia,NA,Montserrado,NA,
Liberia,NA,Nimba,NA,
Liberia,NA,River Gee,NA,
Liberia,NA,Rivercess,NA,
Liberia,NA,Sinoe,NA,
MALI,NA,Kayes,Kenieba,
MALI,NA,Kayes,Bafoulabe,
MALI,NA,Kayes,Diema,
MALI,NA,Kayes,Nioro,
MALI,NA,Kayes,Kayes,
MALI,NA,Kayes,Kita,
MALI,NA,Kayes,Yelimane,
MALI,NA,Koulikoro,Nara,
MALI,NA,Koulikoro,Koulikoro,
MALI,NA,Koulikoro,Banamba,
MALI,NA,Koulikoro,Dioila,
MALI,NA,Koulikoro,Kangaba,
MALI,NA,Koulikoro,Kati,
MALI,NA,Koulikoro,Kolokani,
MALI,NA,Sikasso,Sikasso,
MALI,NA,Sikasso,Bougouni,
MALI,NA,Sikasso,Kadiolo,
MALI,NA,Sikasso,Kolondieba,
MALI,NA,Sikasso,Koutiala,
MALI,NA,Sikasso,Yanfolila,
MALI,NA,Sikasso,Yorosso,
MALI,NA,Segou,Segou,
MALI,NA,Segou,Baroueli,
MALI,NA,Segou,Bla,
MALI,NA,Segou,Macina,
MALI,NA,Segou,Niono,
MALI,NA,Segou,San,
MALI,NA,Segou,Tominian,
MALI,NA,Mopti,Mopti,
MALI,NA,Mopti,Bandiagara,
MALI,NA,Mopti,Bankass,
MALI,NA,Mopti,Djenne,
MALI,NA,Mopti,Douentza,
MALI,NA,Mopti,Koro,
MALI,NA,Mopti,Tenenkou,
MALI,NA,Mopti,Youwarou,
MALI,NA,Tombouctou,Tombouctou,
MALI,NA,Tombouctou,Niafunke,
MALI,NA,Tombouctou,Gourma-Rharous,
MALI,NA,Tombouctou,Goundam,
MALI,NA,Tombouctou,Dire,
MALI,NA,Gao,Ansongo,
MALI,NA,Gao,Bourem,
MALI,NA,Gao,Gao,
MALI,NA,Gao,Menaka,
MALI,NA,Kidal,Abeibara,
MALI,NA,Kidal,Tin-Essako,
MALI,NA,Kidal,Tessalit,
MALI,NA,Kidal,Kidal,
MALI,NA,Mopti,Baroueli,
MALI,NA,Bamako,Commune I,
MALI,NA,Bamako,Commune Ii,
MALI,NA,Bamako,Commune Iii,
MALI,NA,Bamako,Commune Iv,
MALI,NA,Bamako,Commune V,
MALI,NA,Bamako,Commune Vi,
MALI,NA,Bamako,Commune II,
MALI,NA,Bamako,Commune III,
MALI,NA,Bamako,Commune IV,
MALI,NA,Bamako,Commune VI,
MALI,NA,Tombouctou,NA,
MALI,NA,Kidal,NA,
MALI,NA,Koulikoro,NA,
MALI,NA,Kayes,NA,
MALI,NA,Segou,NA,
MALI,NA,Sikasso,NA,
MALI,NA,Gao,NA,
MALI,NA,Mopti,NA,
MALI,NA,Bamako,NA,
Mauritania,NA,Brakna,NA,
Mauritania,NA,Guidimakha,NA,
Mauritania,NA,Tagant,NA,
Mauritania,NA,Adrar,NA,
Mauritania,NA,Dakhlet-Nouadhibou,NA,
Mauritania,NA,Tiris-Zemmour,NA,
Mauritania,NA,Inchiri,NA,
Mauritania,NA,Gorgol,NA,
Mauritania,NA,Nouakchott,NA,
Mauritania,NA,Trarza,NA,
Mauritania,NA,Hodh Ech Chargi,NA,
Mauritania,NA,Hodh El Gharbi,NA,
Mauritania,NA,Assaba,NA,
Niger,NA,Agadez,Aderbissinat,
Niger,NA,Agadez,Arlit,
Niger,NA,Agadez,Bilma,
Niger,NA,Agadez,Iferouane,
Niger,NA,Agadez,In-Gall,
Niger,NA,Agadez,Tchirozerine,
